;UserID;JobTitle;DetailedOccupation;MinorGroup;MajorGroup;Combined_EmploymentItems;Num_EmploymentItems
4369;118333;['principal', 'executive vice president human resources employed', 'human resources consultant assigned', 'vice president human resources hired', 'director human resources employed', 'northeast regional human resources director'];['11-9032', '11-3121', '13-1071', '11-3121', '11-3121', '11-3121'];['11-90', '11-30', '13-10', '11-30', '11-30', '11-30'];['11', '11', '13', '11', '11', '11'];[('11-9032', '11-90', '11', 'principal'), ('11-3121', '11-30', '11', 'executive vice president human resources employed'), ('13-1071', '13-10', '13', 'human resources consultant assigned'), ('11-3121', '11-30', '11', 'vice president human resources hired'), ('11-3121', '11-30', '11', 'director human resources employed'), ('11-3121', '11-30', '11', 'northeast regional human resources director')];6
4370;118343;['field service repair', 'pc tech contractor', 'center rep', 'center rep', 'store manager', 'help desk technician'];['49-9071', '15-1232', '43-4051', '43-4051', '11-1021', '15-1232'];['49-90', '15-12', '43-40', '43-40', '11-10', '15-12'];['49', '15', '43', '43', '11', '15'];[('49-9071', '49-90', '49', 'field service repair'), ('15-1232', '15-12', '15', 'pc tech contractor'), ('43-4051', '43-40', '43', 'center rep'), ('43-4051', '43-40', '43', 'center rep'), ('11-1021', '11-10', '11', 'store manager'), ('15-1232', '15-12', '15', 'help desk technician')];6
4371;118355;['home preservation specialist loan servicing', 'interim loan servicing supervisor', 'learning development trainer facilitator', 'loan servicing team lead', 'senior collector accounts receivable', 'training development supervisor', 'quality monitoring administrator', 'team supervisor quality monitor site lead'];['43-4131', '13-2072', '13-1151', '13-2072', '43-3011', '13-1151', '15-1244', '51-1011'];['43-40', '13-20', '13-10', '13-20', '43-30', '13-10', '15-12', '51-10'];['43', '13', '13', '13', '43', '13', '15', '51'];[('43-4131', '43-40', '43', 'home preservation specialist loan servicing'), ('13-2072', '13-20', '13', 'interim loan servicing supervisor'), ('13-1151', '13-10', '13', 'learning development trainer facilitator'), ('13-2072', '13-20', '13', 'loan servicing team lead'), ('43-3011', '43-30', '43', 'senior collector accounts receivable'), ('13-1151', '13-10', '13', 'training development supervisor'), ('15-1244', '15-12', '15', 'quality monitoring administrator'), ('51-1011', '51-10', '51', 'team supervisor quality monitor site lead')];8
4373;118367;['sales analyst', 'administrative assistant'];['13-1161', '43-6014'];['13-10', '43-60'];['13', '43'];[('13-1161', '13-10', '13', 'sales analyst'), ('43-6014', '43-60', '43', 'administrative assistant')];2
4374;118458;['computer sales associate', 'j.c. penny desktop upgrade technician'];['41-2031', '15-1232'];['41-20', '15-12'];['41', '15'];[('41-2031', '41-20', '41', 'computer sales associate'), ('15-1232', '15-12', '15', 'j.c. penny desktop upgrade technician')];2
4375;118467;['medical transcriptionist', 'billing manager', 'billing manager', 'office manager'];['31-9094', '43-1011', '43-1011', '43-1011'];['31-90', '43-10', '43-10', '43-10'];['31', '43', '43', '43'];[('31-9094', '31-90', '31', 'medical transcriptionist'), ('43-1011', '43-10', '43', 'billing manager'), ('43-1011', '43-10', '43', 'billing manager'), ('43-1011', '43-10', '43', 'office manager')];4
4377;118493;['commercial motor vehicle operator', 'commercial motor vehicle operator', 'commercial motor vehicle operator', 'commercial motor vehicle operator', 'field coordinator', 'safety construction manager field coordinator contract', 'field coordinator contract'];['53-3099', '53-3099', '53-3099', '53-3099', '21-1093', '11-9021', '13-1023'];['53-30', '53-30', '53-30', '53-30', '21-10', '11-90', '13-10'];['53', '53', '53', '53', '21', '11', '13'];[('53-3099', '53-30', '53', 'commercial motor vehicle operator'), ('53-3099', '53-30', '53', 'commercial motor vehicle operator'), ('53-3099', '53-30', '53', 'commercial motor vehicle operator'), ('53-3099', '53-30', '53', 'commercial motor vehicle operator'), ('21-1093', '21-10', '21', 'field coordinator'), ('11-9021', '11-90', '11', 'safety construction manager field coordinator contract'), ('13-1023', '13-10', '13', 'field coordinator contract')];7
4378;118511;['warehouse specialist supply technician', 'senior warehouse clerk', 'inventory warehouse manager', 'manager trainee', 'inventory purchasing manager'];['53-7065', '53-7065', '11-3071', '41-1011', '11-3061'];['53-70', '53-70', '11-30', '41-10', '11-30'];['53', '53', '11', '41', '11'];[('53-7065', '53-70', '53', 'warehouse specialist supply technician'), ('53-7065', '53-70', '53', 'senior warehouse clerk'), ('11-3071', '11-30', '11', 'inventory warehouse manager'), ('41-1011', '41-10', '41', 'manager trainee'), ('11-3061', '11-30', '11', 'inventory purchasing manager')];5
4380;118534;['territory sales rep', 'territory sales rep', 'district manager', 'sales designer', 'store manager sales designer', 'store manager continued', 'sales manager', 'assistant sales manager', 'salesperson assistant sales manager'];['41-4012', '41-4012', '11-1021', '41-2031', '41-1012', '11-1021', '11-2022', '41-1011', '41-1011'];['41-40', '41-40', '11-10', '41-20', '41-10', '11-10', '11-20', '41-10', '41-10'];['41', '41', '11', '41', '41', '11', '11', '41', '41'];[('41-4012', '41-40', '41', 'territory sales rep'), ('41-4012', '41-40', '41', 'territory sales rep'), ('11-1021', '11-10', '11', 'district manager'), ('41-2031', '41-20', '41', 'sales designer'), ('41-1012', '41-10', '41', 'store manager sales designer'), ('11-1021', '11-10', '11', 'store manager continued'), ('11-2022', '11-20', '11', 'sales manager'), ('41-1011', '41-10', '41', 'assistant sales manager'), ('41-1011', '41-10', '41', 'salesperson assistant sales manager')];9
4381;118584;['business systems analyst', 'software engineer', 'lead systems analyst'];['15-1211', '15-1252', '15-1211'];['15-12', '15-12', '15-12'];['15', '15', '15'];[('15-1211', '15-12', '15', 'business systems analyst'), ('15-1252', '15-12', '15', 'software engineer'), ('15-1211', '15-12', '15', 'lead systems analyst')];3
4382;118592;['staff accountant', 'customer service specialist accounts receivable', 'accounting technician army accounts payable', 'accounts payable specialist accounting analyst', 'bookkeeper national accounts', 'accounts receivable analyst research coordinator', 'accounting clerk'];['13-2011', '43-4051', '43-3031', '43-3031', '43-3031', '13-1161', '43-3031'];['13-20', '43-40', '43-30', '43-30', '43-30', '13-10', '43-30'];['13', '43', '43', '43', '43', '13', '43'];[('13-2011', '13-20', '13', 'staff accountant'), ('43-4051', '43-40', '43', 'customer service specialist accounts receivable'), ('43-3031', '43-30', '43', 'accounting technician army accounts payable'), ('43-3031', '43-30', '43', 'accounts payable specialist accounting analyst'), ('43-3031', '43-30', '43', 'bookkeeper national accounts'), ('13-1161', '13-10', '13', 'accounts receivable analyst research coordinator'), ('43-3031', '43-30', '43', 'accounting clerk')];7
4383;118601;['rn licensed', 'licensed rn illinois', 'registered nurse icu'];['29-1141', '29-1141', '29-1141'];['29-10', '29-10', '29-10'];['29', '29', '29'];[('29-1141', '29-10', '29', 'rn licensed'), ('29-1141', '29-10', '29', 'licensed rn illinois'), ('29-1141', '29-10', '29', 'registered nurse icu')];3
4384;118614;['economic self sufficiency specialist case worker', 'clerical customer service', 'head cashier', 'customer service representative', 'customer service representative'];['21-1093', '43-4051', '41-2011', '43-4051', '43-4051'];['21-10', '43-40', '41-20', '43-40', '43-40'];['21', '43', '41', '43', '43'];[('21-1093', '21-10', '21', 'economic self sufficiency specialist case worker'), ('43-4051', '43-40', '43', 'clerical customer service'), ('41-2011', '41-20', '41', 'head cashier'), ('43-4051', '43-40', '43', 'customer service representative'), ('43-4051', '43-40', '43', 'customer service representative')];5
4385;118616;['carpenter', 'glazier'];['47-2031', '47-2121'];['47-20', '47-20'];['47', '47'];[('47-2031', '47-20', '47', 'carpenter'), ('47-2121', '47-20', '47', 'glazier')];2
4387;118663;['executive assistant document control coordinator', 'executive assistant office administrator', 'executive assistant'];['43-6011', '43-6011', '43-6011'];['43-60', '43-60', '43-60'];['43', '43', '43'];[('43-6011', '43-60', '43', 'executive assistant document control coordinator'), ('43-6011', '43-60', '43', 'executive assistant office administrator'), ('43-6011', '43-60', '43', 'executive assistant')];3
4388;118722;['database administrator technical lead quality analyst', 'senior programmer analyst team lead', 'programmer analyst', 'programmer analyst', 'programmer analyst ii', 'programmer', 'consultant social worker'];['15-1242', '15-1211', '15-1211', '15-1211', '15-1211', '15-1251', '21-1021'];['15-12', '15-12', '15-12', '15-12', '15-12', '15-12', '21-10'];['15', '15', '15', '15', '15', '15', '21'];[('15-1242', '15-12', '15', 'database administrator technical lead quality analyst'), ('15-1211', '15-12', '15', 'senior programmer analyst team lead'), ('15-1211', '15-12', '15', 'programmer analyst'), ('15-1211', '15-12', '15', 'programmer analyst'), ('15-1211', '15-12', '15', 'programmer analyst ii'), ('15-1251', '15-12', '15', 'programmer'), ('21-1021', '21-10', '21', 'consultant social worker')];7
4389;118729;['supervisor telemarketing agent', 'regional sales manager'];['41-1012', '11-2022'];['41-10', '11-20'];['41', '11'];[('41-1012', '41-10', '41', 'supervisor telemarketing agent'), ('11-2022', '11-20', '11', 'regional sales manager')];2
4390;118749;['accounting clerk', 'accounts payable clerk', 'accounting assistant', 'accounting clerk', 'accounting clerk', 'cash receipts clerk'];['43-3031', '43-3031', '43-3031', '43-3031', '43-3031', '41-2011'];['43-30', '43-30', '43-30', '43-30', '43-30', '41-20'];['43', '43', '43', '43', '43', '41'];[('43-3031', '43-30', '43', 'accounting clerk'), ('43-3031', '43-30', '43', 'accounts payable clerk'), ('43-3031', '43-30', '43', 'accounting assistant'), ('43-3031', '43-30', '43', 'accounting clerk'), ('43-3031', '43-30', '43', 'accounting clerk'), ('41-2011', '41-20', '41', 'cash receipts clerk')];6
4391;118766;['telecommunications analyst', 'telecommunications analyst', 'desktop support cable specialist', 'telecommunications analyst'];['15-1241', '15-1241', '15-1232', '15-1241'];['15-12', '15-12', '15-12', '15-12'];['15', '15', '15', '15'];[('15-1241', '15-12', '15', 'telecommunications analyst'), ('15-1241', '15-12', '15', 'telecommunications analyst'), ('15-1232', '15-12', '15', 'desktop support cable specialist'), ('15-1241', '15-12', '15', 'telecommunications analyst')];4
4392;118777;['design engineer', 'manufacturing engineer', 'application engineer'];['17-2141', '17-2112', '15-1252'];['17-20', '17-20', '15-12'];['17', '17', '15'];[('17-2141', '17-20', '17', 'design engineer'), ('17-2112', '17-20', '17', 'manufacturing engineer'), ('15-1252', '15-12', '15', 'application engineer')];3
4393;118778;['registered nurse', 'contract travel rn', 'registered nurse', 'diem rn', 'registered nurse'];['29-1141', '29-1141', '29-1141', '29-1141', '29-1141'];['29-10', '29-10', '29-10', '29-10', '29-10'];['29', '29', '29', '29', '29'];[('29-1141', '29-10', '29', 'registered nurse'), ('29-1141', '29-10', '29', 'contract travel rn'), ('29-1141', '29-10', '29', 'registered nurse'), ('29-1141', '29-10', '29', 'diem rn'), ('29-1141', '29-10', '29', 'registered nurse')];5
4394;118788;['personal banker pb1', 'retail national project manager', 'center tele sales banker'];['43-4141', '11-1021', '41-3031'];['43-40', '11-10', '41-30'];['43', '11', '41'];[('43-4141', '43-40', '43', 'personal banker pb1'), ('11-1021', '11-10', '11', 'retail national project manager'), ('41-3031', '41-30', '41', 'center tele sales banker')];3
4395;118793;['dell dcse field service technician time', '+ computer field service technician', 'operations associate'];['49-9071', '15-1232', '13-1199'];['49-90', '15-12', '13-10'];['49', '15', '13'];[('49-9071', '49-90', '49', 'dell dcse field service technician time'), ('15-1232', '15-12', '15', '+ computer field service technician'), ('13-1199', '13-10', '13', 'operations associate')];3
4396;118795;['administrative assistant ceo', 'executive assistant', 'administrative assistant executive assistant', 'administrative assistant'];['43-6011', '43-6011', '43-6011', '43-6014'];['43-60', '43-60', '43-60', '43-60'];['43', '43', '43', '43'];[('43-6011', '43-60', '43', 'administrative assistant ceo'), ('43-6011', '43-60', '43', 'executive assistant'), ('43-6011', '43-60', '43', 'administrative assistant executive assistant'), ('43-6014', '43-60', '43', 'administrative assistant')];4
4397;118844;['technical repersentative', 'web developer', 'web design development', 'web developer', 'trainer', 'project manager', 'network administrator pc technician', 'trainer', 'trainer', 'intranet developer', 'web developer', 'web designer', 'webmaster'];['41-4011', '15-1254', '15-1254', '15-1254', '13-1151', '13-1082', '15-1244', '13-1151', '13-1151', '15-1254', '15-1254', '15-1255', '15-1254'];['41-40', '15-12', '15-12', '15-12', '13-10', '13-10', '15-12', '13-10', '13-10', '15-12', '15-12', '15-12', '15-12'];['41', '15', '15', '15', '13', '13', '15', '13', '13', '15', '15', '15', '15'];[('41-4011', '41-40', '41', 'technical repersentative'), ('15-1254', '15-12', '15', 'web developer'), ('15-1254', '15-12', '15', 'web design development'), ('15-1254', '15-12', '15', 'web developer'), ('13-1151', '13-10', '13', 'trainer'), ('13-1082', '13-10', '13', 'project manager'), ('15-1244', '15-12', '15', 'network administrator pc technician'), ('13-1151', '13-10', '13', 'trainer'), ('13-1151', '13-10', '13', 'trainer'), ('15-1254', '15-12', '15', 'intranet developer'), ('15-1254', '15-12', '15', 'web developer'), ('15-1255', '15-12', '15', 'web designer'), ('15-1254', '15-12', '15', 'webmaster')];13
4398;118850;['mechanical engineer', 'mechanical designer', 'mechanical design engineer contract', 'mechanical design engineer', 'mechanical designer', 'mechanical engineer'];['17-2141', '17-2141', '17-2141', '17-2141', '17-2141', '17-2141'];['17-20', '17-20', '17-20', '17-20', '17-20', '17-20'];['17', '17', '17', '17', '17', '17'];[('17-2141', '17-20', '17', 'mechanical engineer'), ('17-2141', '17-20', '17', 'mechanical designer'), ('17-2141', '17-20', '17', 'mechanical design engineer contract'), ('17-2141', '17-20', '17', 'mechanical design engineer'), ('17-2141', '17-20', '17', 'mechanical designer'), ('17-2141', '17-20', '17', 'mechanical engineer')];6
4399;118877;['cardiac electrophysiology technologist ceps traveler', 'senior cardiac electrophysiology technologist ceps ibhre', 'electrophysiology technologist cardiovascular technologist traveler', 'electrophysiology technologist cardiovascular technologist traveler', 'electrophysiology technologist cardiovascular technologist', 'emergency medical technician trauma center', 'emergency medical technician paramedic firefighter fire prevention', 'owner president'];['29-2031', '29-2031', '29-2031', '29-2031', '29-2031', '29-2042', '29-2042', '11-1011'];['29-20', '29-20', '29-20', '29-20', '29-20', '29-20', '29-20', '11-10'];['29', '29', '29', '29', '29', '29', '29', '11'];[('29-2031', '29-20', '29', 'cardiac electrophysiology technologist ceps traveler'), ('29-2031', '29-20', '29', 'senior cardiac electrophysiology technologist ceps ibhre'), ('29-2031', '29-20', '29', 'electrophysiology technologist cardiovascular technologist traveler'), ('29-2031', '29-20', '29', 'electrophysiology technologist cardiovascular technologist traveler'), ('29-2031', '29-20', '29', 'electrophysiology technologist cardiovascular technologist'), ('29-2042', '29-20', '29', 'emergency medical technician trauma center'), ('29-2042', '29-20', '29', 'emergency medical technician paramedic firefighter fire prevention'), ('11-1011', '11-10', '11', 'owner president')];8
